20ebb9de648c6df989f04d07cf273c7b3yu8c                           ,66.22,1523.00,1523.00,1523.00,1523.00,1523.00,1523,23,1,1,1,1,1,3,3,1,1,1,1,1,0.0000674883970425934,0.0000010191944399078,0.0000000443128017351,0.0000000443128017351,0.0000000443128017351,0.0000000443128017351,0.0000000443128017351,0.04,0.04,1.00,1.00,1.00,1.00,1.00,1.00,432,2,1523,1523,1523,1523,1523,1523,1523,1523,1523,1523,0
8b4071f3e2702b88481054081363bc15her3f                           ,63.74,1466.00,1466.00,1466.00,1466.00,1466.00,1466,23,1,1,1,1,1,3,3,1,1,1,1,1,0.0000665472094798520,0.0000010440558103933,0.0000000453937308867,0.0000000453937308867,0.0000000453937308867,0.0000000453937308867,0.0000000453937308867,0.04,0.04,1.00,1.00,1.00,1.00,1.00,1.00,434,3,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,0
4cd52ae88da3e30dbe01da5048151c98p4f0v                           ,61.00,1464.00,1464.00,1464.00,1464.00,1464.00,1464,24,1,1,1,1,1,2,2,1,1,1,1,1,0.0000670200462606498,0.0000010986892829615,0.0000000457787201234,0.0000000457787201234,0.0000000457787201234,0.0000000457787201234,0.0000000457787201234,0.04,0.04,1.00,1.00,1.00,1.00,1.00,1.00,429,1,1464,1464,1464,1464,1464,1464,1464,1464,1464,1464,0
c600968815fc32b20e0519ecfce5b648en2wo                           ,11.36,250.00,41.67,83.33,83.33,83.33,250,22,1,6,3,3,3,2,2,1,1,1,1,2,0.0000110994275032260,0.0000009767496202839,0.0000000443977100129,0.0000002663862600774,0.0000001331931300387,0.0000001331931300387,0.0000001331931300387,0.14,0.14,3.00,3.00,0.50,0.50,1.00,1.00,38,3,250,250,102,18,102,71,102,71,236,4,1
cf22da37578048d2e51eca1e544c693cke5t3                           ,6.67,60.00,20.00,30.00,30.00,10.00,60,9,1,3,2,2,6,1,1,1,1,1,1,1,0.0000286936823556135,0.0000043040523533420,0.0000004782280392602,0.0000014346841177807,0.0000009564560785204,0.0000009564560785204,0.0000028693682355613,0.22,0.67,2.00,6.00,0.67,2.00,1.00,3.00,16,1,60,60,58,1,58,2,58,2,23,2,0
40e00fd204d0ce97110032bfc47f423d0bgrd                           ,8.50,51.00,25.50,25.50,25.50,2.43,51,6,1,2,2,2,21,1,1,1,1,1,1,1,0.0000065322906836088,0.0000007685047863069,0.0000001280841310512,0.0000002561682621023,0.0000002561682621023,0.0000002561682621023,0.0000026897667520742,0.33,3.50,2.00,21.00,1.00,10.50,1.00,10.50,21,2,51,51,33,18,33,18,33,18,4,1,1
5b0665172160ea4015e79dfbcfa7ed86oe0mc                           ,6.40,64.00,16.00,21.33,21.33,32.00,64,10,1,4,3,3,2,2,2,1,1,1,1,1,0.0000018954686452702,0.0000002961669758235,0.0000000296166975823,0.0000001184667903294,0.0000000888500927470,0.0000000888500927470,0.0000000592333951647,0.30,0.20,3.00,2.00,0.75,0.50,1.00,0.67,36,1,64,64,50,1,62,1,62,1,63,1,0
d79919e5ba11f26bce5e70f0a4f859e3e4q9y                           ,33.02,1915.00,23.07,1915.00,10.19,147.31,1915,58,1,83,1,188,13,2,2,1,2,1,2,1,0.0000345894610755213,0.0000010476181422351,0.0000000180623817627,0.0000014991776863020,0.0000000180623817627,0.0000033957277713828,0.0000002348109629148,3.24,0.22,188.00,13.00,2.27,0.16,188.00,13.00,1571,1,1915,1915,813,1,1915,1915,212,1,1871,1,0
ec6d3fbd8408ba43891370d4ffe41eabhnwbs                           ,6.00,6.00,6.00,6.00,6.00,1.50,6,1,1,1,1,1,4,1,1,1,1,1,1,1,0.0000002316272832560,0.0000000386045472093,0.0000000386045472093,0.0000000386045472093,0.0000000386045472093,0.0000000386045472093,0.0000001544181888373,1.00,4.00,1.00,4.00,1.00,4.00,1.00,4.00,6,6,6,6,6,6,6,6,6,6,2,1,0
8b253bd318229b3eea3f459bd81b8347khytb                           ,8.60,172.00,3.66,172.00,5.93,3.13,172,20,1,47,1,29,55,2,2,1,2,1,2,2,0.0000032898445679284,0.0000003825400660382,0.0000000191270033019,0.0000008989691551897,0.0000000191270033019,0.0000005546830957554,0.0000010519851816050,1.45,2.75,29.00,55.00,0.62,1.17,29.00,55.00,26,1,172,172,61,1,172,172,14,1,106,1,0
21f5b103136104e4947e293983dbaa5b4tder                           ,22.57,4605.00,19.03,80.79,5.84,1.56,4605,204,1,242,57,788,2947,3,3,1,3,3,3,3,0.0000831345907169856,0.0000036828352890912,0.0000000180531141622,0.0000043688536272553,0.0000010290275072461,0.0000142258539598229,0.0000532025274360383,3.86,14.45,788.00,2947.00,3.26,12.18,13.82,51.70,1783,1,4605,4605,1089,1,3031,1,301,1,212,1,0
b0164d9a18a3cdf6082e96f9708040690qcqf                           ,2.17,91.00,1.44,11.38,5.69,30.33,91,42,1,63,8,16,3,1,1,1,1,1,1,1,0.0000016444740346224,0.0000007589880159796,0.0000000180711432376,0.0000011384820239693,0.0000001445691459009,0.0000002891382918017,0.0000000542134297128,0.38,0.07,16.00,3.00,0.25,0.05,2.00,0.38,13,1,91,91,4,1,22,1,22,1,68,1,0
27cc072f1432f7aec4b7e17cf2e473f2x3bjg                           ,5.47,186.00,9.79,26.57,5.47,9.79,186,34,1,19,7,34,19,1,1,1,1,1,1,1,0.0000035128177092082,0.0000006421279683499,0.0000000188861167162,0.0000003588362176073,0.0000001322028170132,0.0000006421279683499,0.0000003588362176073,1.00,0.56,34.00,19.00,1.79,1.00,4.86,2.71,17,1,186,186,158,1,157,1,36,1,157,1,0
8bf07d8631a2808f2c869e27afad2d41swgkd                           ,12.37,1027.00,12.52,35.41,5.43,3.27,1027,83,1,82,29,189,314,5,5,1,2,2,2,2,0.0000191066025634674,0.0000015441558060056,0.0000000186042868193,0.0000015255515191863,0.0000005395243177610,0.0000035162102088562,0.0000058417460612744,2.28,3.78,189.00,314.00,2.30,3.83,6.52,10.83,71,1,1027,1027,212,1,488,1,84,1,300,1,1
