"","row_id","bidder_id","bid_merchandise","bid_country","bid_url","total_auctions","total_devices","total_countries","total_ips","total_urls","max_bids","max_auctions","max_devices","max_countries","max_ips","max_urls","bid_freq","auction_freq","device_freq","country_freq","ip_freq","url_freq","url_auction","ip_device","url_device","ip_country","url_country","max_bid_in_device","max_bid_in_country","max_bid_in_url","outcome"
"151",77,"25a4ee3a528004bcf4f4bf62b9208a7dx96pt                           ",0.014596481,0.008134796,0.000335085,0.15450237,0.179504814,0.544117647,0.026887236,0.047619048,0.222222222,0.25,0.285714286,0.2,0.222222222,0.166666667,0.41877551,0.558823529,0.545306122,0.626297578,0.442906574,0.419550173,0.079390283,0.008875129,0.012290109,0.006636771,0.012594024,0.009373535,0.012219392,0.007460875,0
"152",495,"28c0d4c81a22958352aa742f7d74e477qwo51                           ",0.000117524,0.001394984,0.000788436,0.008530806,0.005502063,0.014705882,0.00042746,0.000231441,0,0,0,0,0,0,0.782040816,0.777681661,0.798367347,0.881487889,0.769031142,0.837370242,0.007621467,0.004004128,0.002152726,0.002394619,0.001874727,7.81e-05,0.000318421,0.000132442,0
"153",390,"6c3bdc508c20f2f3871766cd73064c8cib3xh                           ",0.000258553,0.001478579,0.001504599,0.014218009,0.008253095,0.036764706,0.00085492,0.000347162,0,0,0,0,0,0,0.736326531,0.751730104,0.782857143,0.837370242,0.728373702,0.823529412,0.006668784,0.005655315,0.002074445,0.002242152,0.001299657,0.00054679,0.000358223,0.000264883,0
"154",539,"1291b98e40353f77928e363d54a13c569bhfb                           ",2.35e-05,0.000261233,0.000328515,0.001895735,0.001375516,0.007352941,8.55e-05,5.79e-05,0,0,0,0,0,0,0.495510204,0.465397924,0.495510204,0.500865052,0.465397924,0.500865052,0.010320737,0.003095975,0.002583271,0.00044843,0.001104134,0,3.98e-05,2.21e-05,0
"155",633,"5d02346d70f11cd61d9fb955846ee9bdp5o6k                           ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.015560495,0.003095975,0.003874907,0,0.001104134,0,0,0,0
"156",302,"6b9a3d480add21788772e118e6d51ed57e3w9                           ",5.88e-05,0.001044932,0.003285151,0.003791469,0.002751032,0.007352941,0.000170984,0,0,0,0,0,0,0,0.835102041,0.84083045,0.849795918,0.920415225,0.84083045,0.980103806,0.00285805,0.003095975,0.000743669,0.001345291,0.000529064,7.81e-05,0.00015921,0.000110368,0
"157",273,"2d82c3dc726d2bfa19c5f16ec3de5023lbse1                           ",4.7e-05,0.000130617,0,0.003791469,0.002751032,0.022058824,0.000128238,0.000231441,0,0,0,0,0,0,0.857142857,0.848615917,0.857142857,0.867647059,0.867647059,0.848615917,0.015560495,0.002270382,0.003874907,0,0.001391668,0,3.98e-05,0,0
"158",169,"5850b68151cf0760e94acb39c4dfa02026k4u                           ",7.05e-05,0.00069488,0.000262812,0.005687204,0.002063274,0.014705882,0.000170984,0.000231441,0,0,0,0,0,0,0.76,0.74567474,0.805714286,0.8183391,0.774221453,0.774221453,0.010955859,0.004127967,0.004853419,0.000600897,0.001874727,0.000156226,0.00015921,4.41e-05,0
"159",133,"042780ee9a3730703e35340c575c3cbb7zjwk                           ",2.35e-05,0.000261233,0.00131406,0.000947867,0.001375516,0.007352941,4.27e-05,0,0,0,0,0,0,0,0.769795918,0.791522491,0.769795918,0.791522491,0.791522491,0.851211073,0.007621467,0.001733746,0.001252495,0,0.000529064,0,3.98e-05,4.41e-05,0
"160",286,"721e69fd30e33488bf82b7e2f9c8cee28a9ea                           ",0.000376077,0.001635319,0.006570302,0.021800948,0.01650619,0.051470588,0.001111396,0.000115721,0,0,0,0,0,0,0.711020408,0.721453287,0.733877551,0.816608997,0.711072664,0.901384083,0.001746586,0.003426213,0.000430545,0.002134529,0.000391047,0.000312451,0.000915459,0.00030903,0
